,title,usrlss,text
0,برند اشنایدر چطور بهترین راننده تاریخ DTM شد؟ - فرمول یک ایران,https://f1iran.com/149154/%d8%a8%d8%b1%d9%86%d8%af-%d8%a7%d8%b4%d9%86%d8%a7%db%8c%d8%af%d8%b1-%d8%a8%d9%87%d8%aa%d8%b1%db%8c%d9%86-%d8%b1%d8%a7%d9%86%d9%86%d8%af%d9%87-%d8%aa%d8%a7%d8%b1%db%8c%d8%ae-dtm/,"دی تی ام ایران – یک راننده آلمانی که اهالی فرمول یک او را پس زدند به رقابتهای DTM وارد شد و تبدیل به موفق ترین و درخشان ترین ستاره تاریخ کل رقابت های DTM شد. در این پست، داستان اشنایدر را از زبان خودش می شنویم…

اکثر اوقات از من (برند اشنایدر) در مورد خاطرات مورد علاقه ام در دوران حضورم در دی تی ام پرسیده می شود. این سوالات به مانند سوالی می باشد که بر فرض مثال بپرسد کدام یک از سه فرزند خود را بیشتر از همه دوست داری! برای من، دی تی ام در هر مرحله ای از دوران حضورم خاطرات فوق العاده زیبایی را رقم زده است.

فصل مورد علاقه اشنایدر

برخی از مسابقات من فوق العاده بودند؛ برای من بهترین برد ها و پیروزی ها آنهایی بودند که غیر منتظره به دست می آمدند و تعداد کمی از آنها وجود دارد. چیزی که برای من اهمیت بیشتری را داشت، کسب اولین قهرمانی جهان در فصل 1995 بود به این خاطر که فصل 1994 واقعا فصل سختی برای من بود. احتمالا من در فصل 2000 بیشترین تمرکز را برای کسب قهرمانی جهان کرده بودم و من واقعا می خواستم که در آن سال به قهرمانی برسم به این خاطر که آن سال، شروع یک دوران جدید در دی تی ام به حساب می آمد. من برای هیچ فصلی به اندازه فصل 2000 خودم را (برای کسب قهرمانی) آماده نکرده بودم.

بهترین خودروی برند اشنایدر

دو خودرو وجود دارند که واقعا از لحاظ قلبی به من نزدیک هستند؛ اول از همه، خودروی مرسدس کلاس سی شش سیلندر خورجینی سال 1995 که من با آن قهرمانی را کسب کردم که شاهکار گرهارد اونگار(مدیر فنی تیم مرسدس/اچ دبلیو ای) بود. این خودرو به طور کل یک خط معیار بود. در آن دوران، هیچکسی باور نداشت که شما بتوانید با یک خودروی محور عقب بتوانید با خودروهای چهارچرخ محرک آلفارومئو و اوپل رقابت کنید ولی ما این کار را کردیم. سپس خودروی مورد علاقه بعدی من مرتبط به نسل جدید رقابتهای دی تی ام هست. خودروی 8 سیلندر خورجینی مرسدس فصل 2006 بود. این خودرویی بود که من با آن آخرین قهرمانی خودم را کسب کردم و خودروی رویایی من است. خودروی مسابقه ای که من فوق العاده دوست دارم مالکش باشم. متاسفانه، این خودرو در موزه قرار دارد و مرسدس نمی خواهد که آن را بفروشد. اما حداقل در رویداد های کلاسیک هر از چندگاهی آنها به من اجازه رانندگی با آن را می دهند.

سر سخت ترین رقیب برند اشنایدر

خب به طور کل، کلاوس لودویگ مردی بود که در دوران قدیم دی تی ام باید بر او غلبه می کردم. او راننده برتر در رقابتهای خودروهای تورینگ و اسپورت بود. برای همین، او بدون شک معیار من (برای رقابت کردن) بود. اما این داریو فرانچیتی بود که موهای مرا سفید کرد. او در فصل 1995 به دی تی ام آمد و مستقیم خودرویش را روی پول پوزیشن قرار داد و پس از آن به سر سخت ترین رقیبم تبدیل شد. اما راننده های قدرتمندی خارج از مرسدس نیز حضور داشتند. من نبردهای فوق العاده ای را با مانوئل رویتر(راننده اوپل)، نیکولا لارینی و الساندرو نانینی(راننده های آلفارومئو) داشتم. وقتیکه سری مسابقات دی تی ام در فصل 2000 از سر گرفته شد، رقبای اصلی من دوباره در مرسدس بودند. جیمی گرین، برونو اِسپِنگلِر و گَری پَفِت (از رقبای اصلی من بودند) که هر سه این افراد از فرمول 3 آمده بودند.مسابقه دادن در برابر این افراد زمانی برایم مشخص شد که دیدم کار دارد برایم سخت تر می شود. نه به این خاطر که من سرعت کمتری نسبت به آنها داشتم، بلکه مرسدس ترکیب رانندگان فوق العاده قدرتمندی را داشت. باید به یاد داشت که آنها حتی (قهرمان جهان دو دوره از فرمول یک) یعنی میکا هکینن را نیز به خدمت گرفته بودند.

چه چیزی از دی تی ام برایش ماند

من هنوز هم خیلی احساس افتخار می کنم از اینکه به تاریخ دی تی ام کمک شایانی کرده ام. 11 سال گذشته است از آخرین باری که من در این سری مسابقه داده ام و این زمانی که من دور بوده ام از این رقابتها واقعا فرصت فکر کردن در مورد چیزهایی را به من داده است. هر از گاهی، من به همراه دخترم روی مبل می نشینیم و فیلم مرور فصل ها را باهم تماشا می کنیم. از چشمان هردویمان اشک جاری می شود. او ناراحت است از اینکه من دیگر مسابقه نمی دهم و من هم اشک میریزم به این خاطر که دوباره تمام آن خاطرات ارزشمند برایم تکرار می شود…"
1,حکم محرومیت 15 ساله FIA برای لوکا کُربری - فرمول یک ایران,https://f1iran.com/180422/%d9%85%d8%ad%d8%b1%d9%88%d9%85%db%8c%d8%aa-15-%d8%b3%d8%a7%d9%84%d9%87-fia-%d9%84%d9%88%da%a9%d8%a7-%da%a9%d9%8f%d8%b1%d8%a8%d8%b1%db%8c/,"فرمول یک ایران – لوکا کُربری پس از اقدامات غیر اخلاقی و غیر ورزشی خود در مسابقات فینال قهرمانی کارتینگ جهان – کلاس KZ در مهر ماه سال گذشته، پس از اعلام رای نهایی فدراسیون جهانی اتومبیلرانی به مدت 15 سال از حضور در تمام رشته های اتومبیلرانی منع شد.

در جریان مسابقه فینال سال 2020 در لوناتو ایتالیا، کُربری ابتدا پس از تصادف و خروج از پیست سپر شکسته شده کارت خود را به سمت یک راننده دیگر پرتاب کرد. اما مسئله به همین جا ختم نشد و پس از پایان مسابقه نیز کُربری و پدرش بی دلیل با همان راننده در پدوک درگیر شدند.

ایتالیایی جوان، با پیش بینی تحریم های شدید FIA، روز بعد از مسابقه لایسنس خود را تحویل داد و اظهار داشت که دیگر مسابقه نخواهد داد.

اما شاید مدیران FIA پیش بینی می کردند که احتمال دارد کُربری در آینده در تصمیم خود تجدید نظر کند؛ به همین دلیل اطمینان حاصل کردند که تحت هر شرایطی از حضور وی در رقابت های موتوراسپورت برای مدت زمان کافی جلوگیری شود و سرانجام پرونده جرائم ورزشی وی را در 2 فروردین ماه سال جاری به دادگاه بین المللی در پاریس ارجاع داده شد و پس از دادرسی، هیأت چهار نفره این دادگاه بامداد امروز محرومیتی 15 ساله را برای ایتالیایی جوان تعیین کردند.

اما این محرومیت ابعاد گسترده ای برای این راننده سابق داشته و به موجب آن لوکا کُربری به طور مستقیم یا غیرمستقیم از شرکت در هر مسابقه ای که توسط FIA یا هر ارگان ملی ورزشی (ASN: National Sporting Authority) سازمان یافته یا برگذار شده باشد، یا در هر آزمایش و آموزش مقدماتی سازمان یافته یا تنظیم شده توسط FIA یا ASN یا هر رویداد دیگری که توسط آنها برگزار شود، محروم است.

بعلاوه کُربری از پذیرفتن هرگونه مسئولیت مستقیم یا غیر مستقیم در رقابت ها، رویداد ها و مسابقات قهرمانی که توسط FIA و یا حتی به نمایندگی یا تحت مقررات و تصمیمات فدراسیون جهانی اتومبیلرانی برگزار می شود، همچنین شرکت در آن یا انجام آن محروم است.

و در نهایت، وی از انجام وظیفه به عنوان یک مامور اجرایی، عضو کمیسیون یا رئیس کمیسیون یا هر نوع وظیفه از هر حیث به نمایندگی از FIA و یا در داخل بدنه ی سازمان FIA منع شده است.

وی هفت روز برای درخواست تجدید نظر از دادگاه فرصت خواهد داشت."
2,آیرتون سنا در مسابقات رالی - فرمول یک ایران,https://f1iran.com/156349/%d8%a2%db%8c%d8%b1%d8%aa%d9%88%d9%86-%d8%b3%d9%86%d8%a7-%d8%af%d8%b1-%d9%85%d8%b3%d8%a7%d8%a8%d9%82%d8%a7%d8%aa-%d8%b1%d8%a7%d9%84%db%8c/,"فرمول یک ایران – احتمالا افراد زیادی نیستند که آیرتون سنا را به جز فرمول یک در جایی دیگری دیده باشند، ما در اینجا می خواهیم از سنایی صحبت کنیم که در مسابقات رالی نیز حضور پیدا کرده و تجربه رانندگی کردن با آن خودروها را داشته است.

آیرتون سنا از پیست تا سنگلاخ

در سال 1986وقتیکه او هنوز در استخدام تیم لوتوس بود و آیرتون تصمیم گرفت که در جریان یک گزارش ویژه مجله خودرویی که الان دیگر سالهاست که این مجله از بین رفته، در یک سری مسابقات رالی شرکت کند. او خودروهای زیادی را به مانند خودروی واکسهال نوا تا خودروی گروه B آستین روور مترو 6R4 را رانندگی کرد. البته در منوی او، خودروهایی به مانند فورد سیرا RS کازورث و فورد اسکورت دست ساز 3.4 لیتری چهار چرخ محرک نیز وجود داشت.

سنا دلیل شرکت کردن در این مسابقه را اینطور بیان کرد:

من هیچ چیزی در مورد رالی نمی دانم. تصاویری را در مجلات دیده بودم و گاهی اوقات هم در تلویزیون (مسابقات) را تماشا می کردم و از روی عمد از کسی در مورد رانندگی کردن در رالی نخواستم صحبتی را بشنوم و قصد دارم که خودم این مسئله را درک کنم.

استادی بر دریفت

در اولین دوری که او داشت با سیرا می زد، آیرتون تقریبا در پیچ یک از مسیر خارج شد و چیزی نبود که دقیقا انتظار آن را می کشید:

شگفت آور است. به این خاطر که من به مانند طوری که در خودرو های عادی به داخل پیچ می روم، وارد پیچ اول شدم. احمقانه بود. الان فهمیدم که چرا باید از قفل مخالف استفاده کنید و از کشش خودرو هم استفاده کنید تا خودرو بتواند زمین را گاز بزند و در مسیر باقی بماند. اگر شما فقط تلاش کنید که به دور پیچ بروید، شما به دور پیچ نمی روید و فقط همینطور مستقیم می روید!

سنا بزرگنمایی نمی کرد

او چیز خیلی کمی از رانندگی در رالی می دانست و احساس می کرد که رانندگی با این خودرو ها به مانند رانندگی با خودروهای شهری باشد. تا آخر روز زخم ها و کبودی هایی روی کف دستش نقش بسته بود و برایش سخت بود که درک کند که چطور یک خودرو می تواند از این مسیر لغزنده و پر از مانع های کوچک و بزرگ جان سالم به در ببرد.

اما او عاشق این تجربه شد و درست به مانند کیمی رایکونن در 25 سال بعد، طرح کردن هرگونه مقایسه ای بین رالی و فرمول یک برایش سخت بود. سنا در این مورد می گفت:

(رالی) سخت است به این خاطر که فکر می کنم هیجان فوق العاده بیشتری (نسبت به فرمول یک) دارد. بودن در اینجا به مراتب هیجان انگیز تر از بودن در خودروی فرمول یک می باشد. زیرا که شما اینجا چیزی به عنوان حداکثر سرعت ندارید اما شما شتاب وحشتناکی دارید. احساسات لحظه ای در اینجا خیلی بیشتر از فرمول یک است در یک خودروی فرمول یک شما می روید می روید می روید می روید و سپس آرام می گیرید. اما اینجا شما به اوج می روید و آرام می گیرید و دوباره به یک اوجی می روید و باز آرام می گیرید.(و این چرخه رانندگی ادامه دارد)، کاملا یک نگرش و روند متفاوتی (نسبت به فرمول یک) است.

پایانی بر حضور آیرتون در مسابقات رالی

سنا در آخر تصمیم نگرفت که به مسابقات رالی وارد شود و پیش خودش فکر می کرد که این مسابقات بیش از اندازه خطرناک هستند اما به واقع در ذهنش کاملا به این مسابقات علاقمند شده بود. تنها چیزی که او نیاز داشت بهتر کار کند، جغرافیای بریتانیا بود. البته باید منصف بود و گفت که این اولین باری بود که این راننده برزیلی به مناطق سنگلاخی و ناکجاآباد ولز آمده بود:

به جز مسابقات تست ها یا هر چیز دیگر، این احتمالا بهترین روزی بود که من در انگلیس داشتم. خارج از مسابقاتی که داشتم، این احتمالا برای حال کردن و لذت بردن بهترین روز من بود.

متاسفانه آیرتون سنا دیگر شانس رانندگی کردن با خودروی رالی را پیدا نکرد. اما برای افرادی که افتخار دیدن رانندگی او با یک خودروی رالی را داشتند هیچ شکی وجود نداشت که او تمام مهارت های لازم برای رسیدن به جایگاه های برتر مسابقات رالی قهرمانان جهان را داشته باشد.

پ.ن: به دلیل کیفیت پایین ویدیو، ترجیح داده شد که زیرنویس و ویرایشی روی فایل ویدیویی داده نشود.

یکی از هیجان انگیزترین مسابقات رالی هم سری گروه B بود که در لینک زیر مقالش کار شده، اگر دوست داشتید در موردش مطالعه کنید:"
3,آینده ی هوندا و تصمیمات جدیدش برای حضور در موتوراسپورت - فرمول یک ایران,https://f1iran.com/169580/%d8%a2%db%8c%d9%86%d8%af%d9%87-%d9%87%d9%88%d9%86%d8%af%d8%a7-%d8%aa%d8%b5%d9%85%db%8c%d9%85%d8%a7%d8%aa-%d8%ad%d8%b6%d9%88%d8%b1-%d9%85%d9%88%d8%aa%d9%88%d8%b1%d8%a7%d8%b3%d9%be%d9%88%d8%b1%d8%aa/,"فرمول یک ایران – کمپانی هوندا، تامین کننده اصلی پاوریونیت تیم های ردبول و آلفاتائوری، صبح جمعه 2 مهر ماه سال 1399 در نشستی خبری، در مقر اصلی این شرکت در توکیو خبری غیر قابل پیشبینی مبنی بر ترک فرمول یک در پایان فصل 2021 و عدم تمدید قرارداد خود با این دو تیم برای فصل 2022 را منتشر کرد. حال مدیران هوندا مجددا اخباری جدید از آینده و حضور این گروه خودرو سازی در رقابت های موتوراسپورت منتشر کردند.

کمپانی هوندا با هدف طراحی و تامین پاوریونیت، برای فصل 2018 با تیم الفاتائوری (تورو روسو) قرارداد بست و پس از کسب نتایج قابل قبول در این فصل، موفق شد با تیم ردبول که به تازگی موتور های رنو را کنار گذاشته بود، به عنوان تامین کننده جدید برای فصل 2019 قرارداد ببندد.

در واقع هوندا قصد داشت با حضور مجدد خود در فرمول یک در دوران هایبرید، اعتبار روز های باشکوه گذشته را مجددا زنده کند. اما علی رقم موفقیت ها و چندین پودیومی که گروه هوندا با تیم ردبول به دست آورد، عملا نتوانست در رقابت قهرمانی فرمول یک پیروز شود.

حال مدیران ارشد هوندا، در تصمیمی جنجالی قصد دارند رقابت های فرمول یک را کنار بگذارند و بر روی آینده و تکنولوژی های نو سرمایه گذاری کنند. آن ها به صراحت این موضوع را مطرح کردند که در حال حاضر قصد ورود به فرمول E را نیز ندارند.

این خودروساز ژاپنی عنوان کرد که فرمول یک را ترک می کند تا منابع خود را بر روی افزایش فروش خودروهای الکتریکی و بدون آلاینده های کربنی متمرکز کند. این بخشی از پروژه عظیم هوندا برای تولید کربن صفر تا سال 2050 است. مدیرعامل هوندا، تاکاهیرو هاچیگو توضیح داد که فعلا قصد ندارد به سایر خودروسازانی مانند نیسان، مرسدس، آئودی، پورشه،BMW، جگوار و DS در سری مسابقات فرمول E بپیوندد.

هاچیگو در یک کنفرانس مطبوعاتی ضمن اعلام عزیمت آنها از فرمول یک گفت:

در مورد سایر کلاس های مسابقات مشابه، مانند فرمول E می توانم بگویم که ما فعلا برنامه خاصی برای شرکت در این زمینه نداریم. در حال حاضر هدف اصلی ما تولید خودروهایی با میزان آلاینده های کربنی صفر تا سال 2050 است. اکنون تنها این موضوع چالش بزرگ هوندا خواهد بود؛ بنابراین امیدوارم طرفداران ما نیز از ما پشتیبانی کنند تا ما نیز این چالش را بپذیریم.

رقابت های موتوراسپورت در دی ان ای هوندا

هاچیگو همچنین اظهار داشت، بازگشت گروه خودرو سازی هوندا به فرمول یک در آینده ای نزدیک بعید است؛ اما در ادامه توضیح داد، این سازنده در سایر کلاس های مسابقات اتومبیلرانی که در حال حاضر در آن شرکت می کند، مانند IndyCar باقی خواهد ماند.

وی توضیح داد:

ما می خواهیم سال 2050 را هدف قرار دهیم و اهدافمان برای میزان تولید كربن صفر را تا سال 2050 تحقق بخشیم. بنابراین، این پروژه ای است که ما می خواهیم منابع خود را در راستای آن متمرکز کنیم. به همین دلیل شخصا فکر نمی کنم که دوباره در فرمول یک شرکت کنیم. با این حال، همانطور که پیشتر گفتم، حضور در مسابقات اتومبیلرانی بخشی از فرهنگ و در DNA هوندا است؛ بنابراین در سایر کلاس های مسابقاتی که هوندا در آن شرکت می کند، ما همچنان با علاقه به رقابت در این مسابقات ادامه خواهیم داد.

هاچیگو افزود:

حال كه تصمیم گرفتیم به حضور خود در فرمول یک پایان دهیم، علاقه داریم سطح توانایی تیم هایمان را در سایر مسابقات اتومبیلرانی ارتقا دهیم. بنابراین ما امیدواریم که با این تصمیم بتوانیم اشتیاق مردم در سراسر ژاپن را به انواع مختلف کلاس های اتومبیلرانی افزایش دهیم."
4,همیلتون: تغییرات قوانین یک مسابقه بهتر را ارائه نمی دهد - فرمول یک ایران,https://f1iran.com/1907/%d9%87%d9%85%db%8c%d9%84%d8%aa%d9%88%d9%86-%d8%aa%d8%ba%db%8c%db%8c%d8%b1%d8%a7%d8%aa-%d9%82%d9%88%d8%a7%d9%86%db%8c%d9%86-%db%8c%da%a9-%d9%85%d8%b3%d8%a7%d8%a8%d9%82%d9%87-%d8%a8%d9%87%d8%aa%d8%b1/,"فرمول یک ایران – بعد از نامه سرگشاده انجمن رانندگان و کوبیدن تصمیمات مسئولان فرمول یک، لوییس همیلتون اذعان کرد که رانندگان نباید درگیر همچین فرآیندهایی شوند.

از جمله تغییرات فصل آینده که اعضای هیئت مدیره فرمول یک قصد پیاده سازی آن را دارند، ساخت ماشین های سریع تر است.

لوییس همیلتون در این باره اظهار کرد:

صحبت های زیادی درباره ی قوانین و درگیری راننده ها در این مسائل وجود دارد. به هر حال همه ی افراد نظرات متفاوتی دارند و کار ما مطرح کردن ایده ها نیست.

من شخصا فکر می کنم که ما به چسبندگی بیشتر و آیرودینامیک کم تر در عقب ماشین برای نزدیک شدن و سبقت گرفتن، نیاز داریم."
5,پاسکال ورلین: ما نیاز به مدیریت بهتر لاستیک داریم - فرمول یک ایران,https://f1iran.com/1902/%d9%be%d8%a7%d8%b3%da%a9%d8%a7%d9%84-%d9%88%d8%b1%d9%84%db%8c%d9%86-%d9%86%db%8c%d8%a7%d8%b2-%d9%85%d8%af%db%8c%d8%b1%db%8c%d8%aa-%d9%84%d8%a7%d8%b3%d8%aa%db%8c%da%a9/,"پاسکال ورلین: ما نیاز به مدیریت بهتر لاستیک داریم

پاسکال ورلین: ما نیاز به مدیریت بهتر لاستیک داریم

فرمول یک ایران – پدیده آلمانی تیم مانور، پاسکال ورلین اذعان کرد که عملکرد نه چندان خوب در گرندپری استرالیا به دلیل عدم مدیریت تایر بوده است.

راننده مانور اظهار کرد:

شروع مان خوب بوده است. من در ابتدا شگفت زده شدم، زیر اولین حضورم در فرمول یک بوده است. در دور های اول من شش یا هفت پله رده خودم را بهبود بخشیدم و این زمانی بود که تایر های من خیلی خوب بودند. اما وقتی تایرهای من شروع به تخریب کردند من شش هفت دور بد را میان رانندهای دیگر داشته ام.

ورلین در آخر افزود:

مدیریت و نگهداری بلند مدت تایر اولین چیزی است که ما باید روی آن کار کنیم. ما فقط نیاز داریم که کمی روی ست آپ و لاستیک ها کار کنیم."
6,کریستین هورنر: ردبول می تواند با فراری رقابت کند - فرمول یک ایران,https://f1iran.com/1886/%da%a9%d8%b1%db%8c%d8%b3%d8%aa%db%8c%d9%86-%d9%87%d9%88%d8%b1%d9%86%d8%b1-%d8%b1%d8%af%d8%a8%d9%88%d9%84-%d9%85%db%8c-%d8%aa%d9%88%d8%a7%d9%86%d8%af-%d8%a8%d8%a7-%d9%81%d8%b1%d8%a7%d8%b1%db%8c/,"فرمول یک ایران – مدیر اجرایی تیم ردبول، کریستین هورنر اذعان کرد که تیمش می تواند با فراری در فصل جدید رقابت کند و حتی از آن ها پیشی گیرد.

مدیر تیم ردبول عنوان کرد:

برنامه ما پیشرفت در طول سال است. فراری جلو تر از ما قرار دارد و ما می توانیم با یک حرکت رو به جلو خوب در نیم فصل به رقیب جدی برای آن ها تبدیل شویم.

هورنر همچنین درباره ی گرندپری بحرین اظهار کرد:

ما در بحرین به قدرت بیشتری نسبت به ملبورن نیاز داریم که این مورد به نفع ما نیست اما ما برای رقابت به پیست خواهیم آمد.

پیست برای سبقت گرفتن عالی است. آخرین پیچ عالی خواهد بود اگر برای استفاده از DRS نزدیک شوید و به خوبی می توانید کار را در پیچ اول تکمیل کنید."
7,مکس ورشتپن: ما مانند سنا و پراست نیستیم - فرمول یک ایران,https://f1iran.com/1883/%d9%85%da%a9%d8%b3-%d9%88%d8%b1%d8%b4%d8%aa%d9%be%d9%86-%d8%b3%d9%86%d8%a7-%d9%be%d8%b1%d8%a7%d8%b3%d8%aa-%d9%86%db%8c%d8%b3%d8%aa%db%8c%d9%85/,"مکس ورشتپن: ما مانند سنا و پراست نیستیم

مکس ورشتپن: ما مانند سنا و پراست نیستیم

فرمول یک ایران – در فصل گذشته راننده های تیم تورو روسو، مکس ورشتپن و کارلوس ساینز تنش هایی را با هم داشته اند که در گرندپری سنگاپور به وضوح دیده می شد.

در فصل جدید و در گرندپری استرالیا نیز این دو راننده ها بحث هایی را با یکدیگر و تیم خود داشته اند. بعضی از رسانه ها جدل این دو راننده را به سنا و پراست تشبیه کرده اند.

ورشتپن در این باره اذعان کرد:

تنها یک سنا و یک پراست وجود دارد. رقابت بین دو هم تیمی عادی است و ما فقط در طول مسابقه و در پیست با یکدیگر رقابت داریم. ما لحظات بسیار خوبی را بدور از پیست با یکدیگر داشته ایم و من امیدوارم این موارد تغییر نکند."
8,شاسی جدید برای گوتیرز در بحرین - فرمول یک ایران,https://f1iran.com/1875/%d8%b4%d8%a7%d8%b3%db%8c-%d8%ac%d8%af%db%8c%d8%af-%da%af%d9%88%d8%aa%db%8c%d8%b1%d8%b2-%d8%a8%d8%ad%d8%b1%db%8c%d9%86/,
9,قرارداد جدید مونزا با مدیران فرمول یک - فرمول یک ایران,https://f1iran.com/1872/%d9%82%d8%b1%d8%a7%d8%b1%d8%af%d8%a7%d8%af-%d8%ac%d8%af%db%8c%d8%af-%d9%85%d9%88%d9%86%d8%b2%d8%a7-%d8%a8%d8%a7-%d9%85%d8%af%db%8c%d8%b1%d8%a7%d9%86-%d9%81%d8%b1%d9%85%d9%88%d9%84/,"فرمول یک ایران – مقامات مونزا بر این اعتقادند که اتحادیه می تواند قرارداد جدیدی را با مدیریت فرمول یک ببندد تا شرایط آن ها تا پایان ۲۰۱۶ و حتی فراتر از آن باقی بماند.

مقامات مونزا به مدت چندین ماه در حال مذاکره برای بستن قرار داد جدید بودند که هفته ی گذشته رسانه های ایتالیایی خبر از شکست خوردن آن ها در مذاکره دادند و اذعان داشتند که به احتمال زیاد یک جابه جایی در سال ۲۰۱۷ به ایمولا یا ماجلو اتفاق خواهد افتاد.

مونزا چنین گمانه زنی هایی را تکذیب کرد و اصرار بر آن داشت که بر روی منعقد کردن قراردادی متمرکز شده اند که به تصرف گرندپری ایتالیا خواهد انجامید.

این نوشته را به اشتراک بگذارید"
10,ژاک ویلنوو: فرمول یک نمایش هالیوود نیست - فرمول یک ایران,https://f1iran.com/1867/%da%98%d8%a7%da%a9-%d9%88%db%8c%d9%84%d9%86%d9%88%d9%88-%d9%81%d8%b1%d9%85%d9%88%d9%84-%d9%86%d9%85%d8%a7%db%8c%d8%b4-%d9%87%d8%a7%d9%84%db%8c%d9%88%d9%88%d8%af-%d9%86%db%8c%d8%b3%d8%aa/,"فرمول یک ایران – قهرمان سابق اف یک، ژاک ویلنوو خواستار توقف هالیوودی شدن و بازگرداندن اعتبار ورزشی فرمول یک است.

ویلنوو اذعان کرد:

آنچه در فرمول یک در حال حاظر در جریان است، خوب نیست. راه هایی که برای جذاب کردن این ورزش اجرا می شوند اشتباه است. هیچ هیجانی در مسابقات وجود ندارد. هر گاه تصمیم جدیدی گرفته شده است، فرمول یک به سمت نابودی پیش رفته است. ما باید شکوه و اعتبار سابق فرمول یک را به آن بازگردانیم. فرمول یک یک نمایش مصنوعی تولید شده هالیوود نیست."
11,موتور جدید برای فرناندو آلونسو در بحرین - فرمول یک ایران,https://f1iran.com/1861/%d9%85%d9%88%d8%aa%d9%88%d8%b1-%d8%ac%d8%af%db%8c%d8%af-%d8%a2%d9%84%d9%88%d9%86%d8%b3%d9%88-%d8%a8%d8%ad%d8%b1%db%8c%d9%86/,"فرمول یک ایران – راننده تیم مک لارن – هوندا، فرناندو آلونسو بعد از تصادف ملبورن در یک شنبه گذشته، در بحرین موتور جدید در اختیار خواهد داشت.

موتور استفاده شده آلونسو در استرالیا، به ژاپن فرستاده شد تا بعضی قطعات موتور برای استفاده دوباره مورد بررسی قرار گیرد.

اگر چه سخنگوی هوندا اذعان کرد که شانس بازیافت هر یک از قطعات در بهترین حالت بسیار کم است."
12,دنیل ریکاردو: بهبود رنو قابل توجه است - فرمول یک ایران,https://f1iran.com/1859/%d8%af%d9%86%db%8c%d9%84-%d8%b1%db%8c%da%a9%d8%a7%d8%b1%d8%af%d9%88-%d8%a8%d9%87%d8%a8%d9%88%d8%af-%d8%b1%d9%86%d9%88-%d9%82%d8%a7%d8%a8%d9%84-%d8%aa%d9%88%d8%ac%d9%87-%d8%a7%d8%b3%d8%aa/,"فرمول یک ایران – ریکاردو راننده تیم ردبول اذعان کرد که بهبود رنو در گرندپری استرالیا به خوبی احساس می شد.

در فصل گذشته شریک موتوری تیم ردبول یعنی رنو مورد اتهامات این تیم به خاطر عدم عملکرد مناسب در گرندپری ها قرار می گرفت.

اگر چه ردبول قصد این را داشت که کمپانی فرانسوی را رها کند، اما به خاطر مشکلات به وجود آمده باز با این شرکت تمدید کرد. در این فصل TAG Heuer برند موتور رنو است.

ریکاردو اظهار کرد:

من قطعا بهبود موتور رنو را نسبت به سال گذشته احساس می کنم. من توانستم از بعضی تیم های قوی مانند تورو روسو، ویلیامز و فورس ایندیا عبور کنم. من فکر می کنم در 12 ماه گذشته ما چنان بهبودی نداشتیم ولی الآن در راه درست قدم می گذاریم. بروزرسانی جدید در راه است و ما خیلی هیجان زده هستیم."
13,نیکو روزبرگ: قوانین جدید رادیو تیم مسئولیت راننده ها را در پیست افزایش میدهد - فرمول یک ایران,https://f1iran.com/1844/%d9%86%db%8c%da%a9%d9%88-%d8%b1%d9%88%d8%b2%d8%a8%d8%b1%da%af-%d9%82%d9%88%d8%a7%d9%86%db%8c%d9%86-%d8%ac%d8%af%db%8c%d8%af-%d8%b1%d8%a7%d8%af%db%8c%d9%88-%d8%aa%db%8c%d9%85/,".فرمول یک ایران : نیکو روزبرگ اذعان کرد قوانین جدید رادیو تیم مسابقه را چالشی تر کرده است و گامی مفید برای مسابقات فرمول یک است

:نیکو روزبرگ معتقد است که محدودیت های جدید رادیو تیم باعث می شود که ماشین برای رانندگان تنها و غیر مسلح شود و این مسئله جالب و هیجان انگیزی برای مسابقات است

بله، این مسئله بسیار هیجان انگیز است ، من سباستین (فتل) را مقابل خودم داشتم و از اینکه او از لاستیک های سوپر سافت استفاده می کند بی خبر بودم… فتل میخواست به پیت استاپ برود ، در اینصورت من میدانستم او 24 ثانیه زمان نیاز دارد اما نمی دانستم بعد از آن چقدر سریع خواهد بود.. فهمیدن این موضوع بسیار سخت بود، من نمیدانستم جقدر دیگر باید با لاستیک های مدیوم خودم ادامه بدهم و فقط میدانستم که 40 دور دیگر باقی مانده است. تمامی این مسائل باعث شده بود که تشخیص و قضاوت برای من سخت تر بشود و مسابقه را چالش بر انگیزتر کرده بود"
